Indicador,Tasa de desempleo: total
area,Mercado laboral
Frecuencia,M
Moneda,-
Inf. adj.,No
Unidad,Tasa
Seas. Adj.,NSA
Tipo,-
Acum. periodos,1
2006-01-31,13.195731284562212
2006-02-28,12.18910701990059
2006-03-31,11.799652587916258
2006-04-30,10.934698244273072
2006-05-31,10.51941123361871
2006-06-30,10.5392479827614
2006-07-31,10.435585729680506
2006-08-31,10.681935831043429
2006-09-30,10.49108220938354
2006-10-31,9.541955606948234
2006-11-30,9.757643993482763
2006-12-31,8.945624265663287
2007-01-31,9.959718541408701
2007-02-28,10.09337540456138
2007-03-31,9.93652526607502
2007-04-30,9.623796190089122
2007-05-31,10.592555497690439
2007-06-30,8.945262665174905
2007-07-31,10.056271850925015
2007-08-31,8.931669986085707
2007-09-30,9.134422420779119
2007-10-31,8.70814742668622
2007-11-30,8.649545862103508
2007-12-31,7.8069636026742675
2008-01-31,8.908230672488207
2008-02-29,8.47560609697552
2008-03-31,8.593044743284038
2008-04-30,8.042570056200017
2008-05-31,7.673291474376524
2008-06-30,8.009319189063703
2008-07-31,7.835130965481238
2008-08-31,7.854478102714136
2008-09-30,8.135581819467266
2008-10-31,7.513989236324369
2008-11-30,6.590166023386115
2008-12-31,7.2228940427758435
2009-01-31,8.239971374657962
2009-02-28,8.119049418786181
2009-03-31,8.25689893334584
2009-04-30,8.772699348002698
2009-05-31,8.472734300964337
2009-06-30,7.752631736551386
2009-07-31,7.246398907574727
2009-08-31,7.648871244110313
2009-09-30,7.73111814929709
2009-10-31,6.729467133353576
2009-11-30,7.292914374184541
2009-12-31,6.84806042166042
2010-01-31,6.833231372813946
2010-02-28,7.7773479848172355
2010-03-31,7.873052906646514
2010-04-30,7.2249728048813235
2010-05-31,8.283606936037847
2010-06-30,6.931734952024441
2010-07-31,7.3725082449271415
2010-08-31,6.6000217895245274
2010-09-30,6.558196203407929
2010-10-31,6.486037602559668
2010-11-30,6.4825282710795396
2010-12-31,5.727614508545505
2011-01-31,6.729059707168656
2011-02-28,6.655665873197265
2011-03-31,6.589168625049177
2011-04-30,7.166867698441001
2011-05-31,6.809376813381106
2011-06-30,5.7121104048718
2011-07-31,6.328385895596859
2011-08-31,6.290584600004552
2011-09-30,6.3295953166012655
2011-10-31,5.984497388558611
2011-11-30,5.834953979004654
2011-12-31,5.586222591217739
2012-01-31,6.1
2012-02-29,6.3
2012-03-31,5.6
2012-04-30,6.3
2012-05-31,7.2
2012-06-30,7.0
2012-07-31,6.9
2012-08-31,5.7
2012-09-30,7.1
2012-10-31,5.8
2012-11-30,6.4
2012-12-31,5.6
2013-01-31,7.069517
2013-02-28,6.484632
2013-03-31,6.938494
2013-04-30,6.83559
2013-05-31,6.509449
2013-06-30,6.466187
2013-07-31,6.88375
2013-08-31,6.001129
2013-09-30,6.029257
2013-10-31,6.372691
2013-11-30,6.424027
2013-12-31,6.021961
2014-01-31,6.7226171587765
2014-02-28,7.031442325912999
2014-03-31,6.332001598765669
2014-04-30,6.8043936358385695
2014-05-31,6.791346583749932
2014-06-30,6.854029514520797
2014-07-31,5.669175650896318
2014-08-31,6.747127160122173
2014-09-30,6.181930651234808
2014-10-31,6.654774234333596
2014-11-30,7.006846193034036
2014-12-31,6.466405988258234
2015-01-31,6.591853
2015-02-28,7.105292
2015-03-31,7.256013
2015-04-30,8.121232
2015-05-31,7.370487
2015-06-30,7.416813
2015-07-31,6.968872
2015-08-31,7.628842
2015-09-30,8.040198
2015-10-31,8.544812
2015-11-30,7.931177
2015-12-31,7.38753
2016-01-31,7.7396899999999995
2016-02-29,8.01993
2016-03-31,8.003145
2016-04-30,8.05923
2016-05-31,7.851743
2016-06-30,7.514959
2016-07-31,8.592117
2016-08-31,7.716175
2016-09-30,8.393166
2016-10-31,7.047509
2016-11-30,7.74003
2016-12-31,7.739009
2017-01-31,8.166251
2017-02-28,8.208634
2017-03-31,9.022513
2017-04-30,8.478737
2017-05-31,7.9734169999999995
2017-06-30,7.833611
2017-07-31,7.602419
2017-08-31,7.818772
2017-09-30,7.584828
2017-10-31,7.709942
2017-11-30,7.762652
2017-12-31,6.922843
2018-01-31,8.477401
2018-02-28,9.286173
2018-03-31,8.484886
2018-04-30,8.185446
2018-05-31,8.124138
2018-06-30,7.926952
2018-07-31,7.773063
2018-08-31,9.03511
2018-09-30,8.654206
2018-10-31,8.622598
2018-11-30,7.414851
2018-12-31,8.42497
2019-01-31,8.407259
2019-02-28,8.393597
2019-03-31,9.452559
2019-04-30,7.9579699999999995
2019-05-31,8.766676
2019-06-30,9.768133
2019-07-31,9.136399
2019-08-31,9.058413
2019-09-30,9.470472000000001
2019-10-31,8.792127
2019-11-30,9.196862
2019-12-31,8.494336
2020-01-31,8.503118
2020-02-29,10.495261
2020-03-31,10.1
2020-04-30,9.7
2020-05-31,9.7
2020-06-30,10.7
2020-07-31,10.6
2020-08-31,10.8
2020-09-30,11.0
2020-10-31,11.2
2020-11-30,10.9
2020-12-31,10.5
2021-01-31,10.7
2021-02-28,11.1
2021-03-31,9.7
2021-04-30,9.7
2021-05-31,10.2
2021-06-30,9.4
2021-07-31,10.4
2021-08-31,9.5
2021-09-30,9.4
